Region;Navn;Bosetting enslige mindreårige: Anmodning om bosetting;Bosetting enslige mindreårige: Anmodning om bosetting;Bosetting enslige mindreårige: Anmodning om bosetting;Bosetting enslige mindreårige: Anmodning om bosetting;Bosetting enslige mindreårige: Anmodning om bosetting;Bosetting enslige mindreårige: Anmodning om bosetting;Bosetting enslige mindreårige: Anmodning om bosetting;Bosetting enslige mindreårige: Anmodning om bosetting;Bosetting enslige mindreårige: Anmodning om bosetting;Bosetting enslige mindreårige: Anmodning om bosetting;Bosetting enslige mindreårige: Anmodning om bosetting;Bosetting enslige mindreårige: Anmodning om bosetting;Bosetting enslige mindreårige: Anmodning om bosetting;Bosetting enslige mindreårige: Anmodning om bosetting;Bosetting enslige mindreårige: Anmodning om bosetting;Bosetting enslige mindreårige: Anmodning om bosetting;Bosetting enslige mindreårige: Anmodning om bosetting;Bosetting enslige mindreårige: Anmodning om bosetting;Bosetting enslige mindreårige: Opprinnelig anmodning;Bosetting enslige mindreårige: Opprinnelig anmodning;Bosetting enslige mindreårige: Opprinnelig anmodning;Bosetting enslige mindreårige: Opprinnelig anmodning;Bosetting enslige mindreårige: Opprinnelig anmodning;Bosetting enslige mindreårige: Opprinnelig anmodning;Bosetting enslige mindreårige: Opprinnelig anmodning;Bosetting enslige mindreårige: Opprinnelig anmodning;Bosetting enslige mindreårige: Opprinnelig anmodning;Bosetting enslige mindreårige: Opprinnelig anmodning;Bosetting enslige mindreårige: Opprinnelig anmodning;Bosetting enslige mindreårige: Opprinnelig anmodning;Bosetting enslige mindreårige: Opprinnelig anmodning;Bosetting enslige mindreårige: Opprinnelig anmodning;Bosetting enslige mindreårige: Opprinnelig anmodning;Bosetting enslige mindreårige: Opprinnelig anmodning;Bosetting enslige mindreårige: Opprinnelig anmodning;Bosetting enslige mindreårige: Opprinnelig anmodning;Bosetting enslige mindreårige: Faktisk bosetting;Bosetting enslige mindreårige: Faktisk bosetting;Bosetting enslige mindreårige: Faktisk bosetting;Bosetting enslige mindreårige: Faktisk bosetting;Bosetting enslige mindreårige: Faktisk bosetting;Bosetting enslige mindreårige: Faktisk bosetting;Bosetting enslige mindreårige: Faktisk bosetting;Bosetting enslige mindreårige: Faktisk bosetting;Bosetting enslige mindreårige: Faktisk bosetting;Bosetting enslige mindreårige: Faktisk bosetting;Bosetting enslige mindreårige: Faktisk bosetting;Bosetting enslige mindreårige: Faktisk bosetting;Bosetting enslige mindreårige: Faktisk bosetting;Bosetting enslige mindreårige: Faktisk bosetting;Bosetting enslige mindreårige: Faktisk bosetting;Bosetting enslige mindreårige: Faktisk bosetting;Bosetting enslige mindreårige: Faktisk bosetting;Bosetting enslige mindreårige: Faktisk bosetting;Bosetting enslige mindreårige: Vedtak om bosetting;Bosetting enslige mindreårige: Vedtak om bosetting;Bosetting enslige mindreårige: Vedtak om bosetting;Bosetting enslige mindreårige: Vedtak om bosetting;Bosetting enslige mindreårige: Vedtak om bosetting;Bosetting enslige mindreårige: Vedtak om bosetting;Bosetting enslige mindreårige: Vedtak om bosetting;Bosetting enslige mindreårige: Vedtak om bosetting;Bosetting enslige mindreårige: Vedtak om bosetting;Bosetting enslige mindreårige: Vedtak om bosetting;Bosetting enslige mindreårige: Vedtak om bosetting;Bosetting enslige mindreårige: Vedtak om bosetting;Bosetting enslige mindreårige: Vedtak om bosetting;Bosetting enslige mindreårige: Vedtak om bosetting;Bosetting enslige mindreårige: Vedtak om bosetting;Bosetting enslige mindreårige: Vedtak om bosetting;Bosetting enslige mindreårige: Vedtak om bosetting;Bosetting enslige mindreårige: Vedtak om bosetting
;;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Personer;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent;Enhet: Prosent
;;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2022;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2022;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2022;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2022;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2022;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2022;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2022;År: 2014;År: 2015;År: 2016;År: 2017;År: 2018;År: 2019;År: 2020;År: 2021;År: 2022
K1001;Kristiansand (t.o.m. 2019);10;20;60;10;5;5;;;;100;100;100;100.00;100;100;;;;;;;;;;;;;;;;;;;;;;9;24;33;11;5;:;;;;90;120;55;110.00;100;:;;;;10;20;45;10;:;5;;;;100;100;75;100.00;:;100;;;
K1002;Mandal (t.o.m. 2019);5;10;25;10;.;.;;;;100;100;100;100.00;100;100;;;;;;;;;;;;;;;;;;;;;;5;6;10;5;.;.;;;;100;60;40;50.00;.;.;;;;5;10;25;10;.;.;;;;100;100;100;100.00;.;.;;;
K4206;Farsund;0;0;15;.;.;.;:;0;0;.;.;100;100.00;100;100;:;.;;;;;;;;:;;;;;;;;;.;;;0;0;:;.;.;.;:;0;;.;.;:;.;.;.;:;.;;0;0;:;.;.;.;:;0;;.;.;:;.;.;.;:;.;
K4207;Flekkefjord;0;0;15;5;:;.;:;0;0;.;.;100;100.00;:;100;:;.;;;;;;;;:;;;;;;;;;.;;;0;:;:;5;:;.;:;:;;.;.;:;100.00;:;.;:;:;;0;0;8;5;:;.;:;0;;.;.;53.3;100.00;:;.;:;.;
K3001;Halden;2;2;15;.;.;.;:;0;0;100;100;100;100.00;100;100;:;.;;;;;;;;10;;;;;;;;;.;;;:;:;:;.;.;.;:;0;;.;.;:;.;.;.;:;.;;2;2;:;.;.;.;:;0;;100;100;:;.;.;.;:;.;
K4223;Vennesla;0;0;15;.;.;.;:;0;0;.;.;100;100.00;100;100;:;.;;;;;;;;:;;;;;;;;;.;;;:;0;0;.;.;.;:;0;;.;.;0;.;.;.;:;.;;0;0;.;.;.;.;:;0;;.;.;.;.;.;.;:;.;
K1017;Songdalen (t.o.m. 2019);0;0;15;.;.;.;;;;.;.;100;100.00;100;100;;;;;;;;;;;;;;;;;;;;;;0;0;0;:;.;:;;;;.;.;0;.;.;:;;;;0;0;.;.;.;.;;;;.;.;.;.;.;.;;;
K1018;Søgne (t.o.m. 2019);5;5;20;.;.;.;;;;100;100;100;100.00;100;100;;;;;;;;;;;;;;;;;;;;;;:;0;:;.;.;.;;;;.;0;:;.;.;.;;;;0;0;.;.;.;.;;;;0;0;.;.;.;.;;;
