underenhet_navn;underenhet_orgnr;overenhet_navn;overenhet_orgnr;sektorkode;sektornavn;antall_ansatte;næringskode;næring;nace_kode;nace_beskrivelse;næringskategori;selskapskategori;eierandel;begrunnelse;beliggenhet_kommunenr;beliggenhet_kommune;beliggenhet_postnr;beliggenhet_adresse;sysselsatte_kommune;pst_kommunens_sysselsatte;pst_av_fylkets_statlig_sysselsatte
AGDER LAGMANNSRETT;974730502;DOMSTOLENE I NORGE;984195796;6100;Statsforvaltningen;56;84;Off.adm.. forsvar. sosialforsikring;84.23;Retts- og fengselsvesen;Regional;Statsforvaltning;NA;NA;3807;Skien;3716;Gjerpensgate 16;26119;0.00214403307936751;0.00246804759806082
ARBEIDSTILSYNET SKIEN;874719412;ARBEIDSTILSYNET;974761211;6100;Statsforvaltningen;21;84;Off.adm.. forsvar. sosialforsikring;84.13;Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked;Lokal;Statsforvaltning;NA;NA;3807;Skien;3716;Gjerpensgate 20;26119;0.000804012404762816;0.000925517849272807
ARBEIDSTILSYNET TØNSBERG;974719061;ARBEIDSTILSYNET;974761211;6100;Statsforvaltningen;18;84;Off.adm.. forsvar. sosialforsikring;84.13;Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked;Lokal;Statsforvaltning;NA;NA;3803;Tønsberg;3125;Anton Jenssens gate 5;32617;0.000551859459790907;0.000793301013662406
ARENDAL FENGSEL KLEIVGREND AVDELING;881026252;KRIMINALOMSORGSDIREKTORATET;911830868;6100;Statsforvaltningen;12;84;Off.adm.. forsvar. sosialforsikring;84.23;Retts- og fengselsvesen;Lokal;Statsforvaltning;NA;NA;3823;Fyresdal;3870;Kleivgrendsvegen 812;520;0.0230769230769231;0.000528867342441604
AUST-TELEMARK TINGRETT;974731029;DOMSTOLENE I NORGE;984195796;6100;Statsforvaltningen;10;84;Off.adm.. forsvar. sosialforsikring;84.23;Retts- og fengselsvesen;Lokal;Statsforvaltning;NA;NA;3808;Notodden;3674;Storgata 66;5278;0.00189465706707086;0.000440722785368004
AVINOR FLYSIKRING AS AVD TORP;913299183;AVINOR FLYSIKRING AS;913074270;1120;Statlig eide aksjeselskaper;13;52;Transporttjenester og lagring;52.23;Andre tjenester tilknyttet lufttransport;Nasjonal;Sektorpolitikk;1;sektorpolitisk;3804;Sandefjord;3241;Hangarveien 17;29758;0.000436857315679817;0.000572939620978405
BAGN KRAFTVERK DA;886687672;BAGN KRAFTVERK DA;971034696;1120;Statlig eide aksjeselskaper;1;35;Kraftforsyning;35.111;Produksjon av elektrisitet fra vannkraft;Kraftverk;Kraftverk;NA;NA;3806;Porsgrunn;3915;Storgata 159;17260;0.0000579374275782155;0.0000440722785368004
BAMBLE LENSMANNSKONTOR;974730294;SØR-ØST POLITIDISTRIKT;983998178;6100;Statsforvaltningen;9;84;Off.adm.. forsvar. sosialforsikring;84.24;Politi- og påtalemyndighet;Lokal;Statsforvaltning;NA;NA;3813;Bamble;3960;Gangveien 6;4933;0.00182444759781066;0.000396650506831203
BANE NOR LARVIK;983160298;BANE NOR SF;917082308;6100;Statsforvaltningen;15;42;Anleggsvirksomhet;42.12;Bygging av jernbaner og undergrunnsbaner;Lokal;Statsforvaltning;NA;NA;3805;Larvik;3256;Storgata 36;19091;0.000785710544235504;0.000661084178052005
BANE NOR NORDAGUTU TRAFIKK - STABER;974709538;BANE NOR SF;917082308;6100;Statsforvaltningen;9;52;Transporttjenester og lagring;52.219;Tjenester tilknyttet landtransport ellers;Lokal;Sektorpolitiske mål og profitt;NA;NA;3817;Midt-Telemark;3820;Nordagutuvegen 659;4367;0.00206091138081063;0.000396650506831203
