Gruppe / kommune,Kommune-nummer,Innb. totalt pr. 1. januar,Arrangement for skoler og barnehager,Arrangement for skoler og barnehager frammøtte,Samtale og debatt-arrangement,Samtale og debatt-arrangement frammøtte,Kultur-arrangement,Kultur-arrangement frammøtte,Opplæring/ kurs/ verksted,Opplæring/ kurs/ verksted frammøtte,Bibliotekinformasjon/ omvisning,Bibliotekinformasjon/ omvisning frammøtte
Norge,,5367580,11242,248192,1541,38981,9346,247070,7381,97557,1208,21201
Viken,,1241165,1824,42708,212,5127,1694,46760,1081,11785,149,1943
Oslo,,693494,979,22738,81,2092,1658,35569,1722,31423,48,466
Innlandet,,371385,799,21500,96,3298,754,20746,497,3963,187,3104
Vestfold og Telemark,,419396,612,14694,139,2756,648,15183,539,7310,34,582
Agder,,307231,392,8735,93,1247,542,15748,523,6164,90,1312
Rogaland,,479892,1112,31869,143,5972,975,34377,709,9055,52,1855
Vestland,,636531,753,19515,111,4104,767,20880,593,6899,194,3609
Møre og Romsdal,,265238,666,11165,61,1481,200,5314,297,2624,59,1074
Trøndelag,,468702,2366,41973,326,6772,858,22159,573,9444,147,3549
Nordland,,241235,878,16275,145,4145,690,15439,351,4480,100,1504
Troms og Finnmark,,243311,841,16297,122,1647,530,14188,478,4282,148,2203
Svalbard,,2428,20,723,12,340,30,707,18,128,0,0
300 000 og over,,693494,979,22738,81,2092,1658,35569,1722,31423,48,466
50 000-299 999,,1829100,2349,55060,403,15429,2564,79480,2146,27934,185,3685
30 000-49 999,,612287,733,24830,143,3366,739,17984,382,4039,75,2429
20 000-29 999,,636287,1230,27937,267,6148,1087,37715,845,10326,180,3457
10 000-19 999,,717433,2003,44843,261,5154,1474,39217,868,10975,244,4111
5 000-9 999,,476140,1262,26207,136,2764,823,16431,687,5310,301,4782
2 000-4 999,,313030,1298,25389,152,2951,675,14041,560,5515,107,1436
Under 2000,,92237,1388,21188,98,1077,326,6633,171,2035,68,835
KOSTRA-gruppe 1,,263660,666,14061,56,1550,398,8156,291,2946,112,1478
KOSTRA-gruppe 2,,116066,234,5522,31,766,166,4813,129,1317,94,1710
KOSTRA-gruppe 3,,47303,213,3587,12,30,174,2112,119,734,72,988
KOSTRA-gruppe 4,,146926,584,12531,41,402,344,7177,255,1872,34,500
KOSTRA-gruppe 5,,115843,467,9225,100,1932,196,4653,247,2229,73,1214
KOSTRA-gruppe 6,,89631,327,5155,34,675,183,2746,176,1539,22,313
KOSTRA-gruppe 7,,561158,1527,34933,199,4181,1005,29015,636,8490,163,3015
KOSTRA-gruppe 8,,156275,476,9910,62,973,469,10202,232,2485,81,1096
KOSTRA-gruppe 9,,636287,1230,27937,267,6148,1087,37715,845,10326,180,3457
KOSTRA-gruppe 10,,470811,628,22586,94,2580,599,14552,346,3488,49,1882
KOSTRA-gruppe 11,,577840,783,18893,149,4599,909,20902,660,8560,63,1170
KOSTRA-gruppe 12,,1392736,1671,38411,303,11616,1795,62010,1522,19925,148,3062
KOSTRA-gruppe 13,,693494,979,22738,81,2092,1658,35569,1722,31423,48,466
KOSTRA-gruppe 14,,35985,1053,15655,17,165,83,1545,47,729,30,416
KOSTRA-gruppe 15,,45945,195,3759,60,689,202,3951,96,988,33,387
KOSTRA-gruppe 16,,3676,44,707,9,138,28,610,15,187,4,25
KOSTRA-gruppe 17,,13944,145,1859,14,105,20,635,25,191,2,22
Halden,3001,31373,49,1128,1,13,9,278,19,153,,
Moss,3002,49273,44,939,15,678,33,1417,2,60,0,
Sarpsborg,3003,56732,45,1125,0,0,51,1219,10,80,8,159
Fredrikstad,3004,82385,54,1668,2,65,70,1498,91,756,5,90
Drammen,3005,101386,71,1662,12,244,152,4828,51,761,12,235
Kongsberg,3006,27723,33,346,1,75,49,1174,7,213,2,38
Ringerike,3007,30641,4,85,1,13,42,831,28,379,0,
Hvaler,3011,4668,1,8,0,0,8,302,0,0,0,0
Aremark,3012,1325,2,15,2,10,0,0,0,0,,
Marker,3013,3595,1,80,5,50,20,154,0,0,,
Indre Østfold,3014,44792,126,2740,15,320,93,2143,47,207,7,210
Skiptvet,3015,3805,14,171,0,0,20,450,1,15,0,0
Rakkestad,3016,8255,5,214,0,0,9,261,7,35,,
Råde,3017,7508,3,58,0,0,3,77,7,42,,
Våler (Viken),3018,5736,3,188,0,0,0,0,0,0,,
Vestby,3019,18042,12,335,0,0,19,330,59,242,0,0
Nordre Follo,3020,59288,128,2919,4,71,99,2498,110,1128,,
Ås,3021,20439,62,1384,0,0,109,2345,21,448,,
Frogn,3022,15877,27,553,1,22,20,174,36,215,0,0
Nesodden,3023,19616,17,434,8,56,67,1501,16,476,3,60
Bærum,3024,127731,50,1857,80,2288,174,4939,70,601,2,22
Asker,3025,94441,238,3714,0,0,83,2778,19,620,6,31
Aurskog-Høland,3026,17390,3,60,0,0,13,495,4,53,1,6
Rælingen,3027,18530,27,483,0,0,31,579,1,22,0,0
Enebakk,3028,11110,20,441,3,18,6,154,4,40,0,0
Lørenskog,3029,41460,39,1519,0,0,36,1311,70,978,0,0
Lillestrøm,3030,85983,56,1568,13,98,120,3719,62,260,0,0
Nittedal,3031,24249,21,558,3,8,38,3051,88,1194,3,25
Gjerdrum,3032,6890,111,2212,0,0,19,586,11,83,,
Ullensaker,3033,39625,71,1798,26,658,31,614,5,97,0,0
Nes,3034,23092,26,759,0,0,49,746,10,212,0,
Eidsvoll,3035,25436,53,1231,1,9,63,1608,6,265,6,97
Nannestad,3036,14139,33,1057,3,40,23,526,10,199,,
Hurdal,3037,2854,30,900,0,0,3,90,0,0,0,0
Hole,3038,6799,19,447,4,140,6,0,2,45,11,252
Flå,3039,1050,0,0,0,0,3,60,0,0,0,
Nesbyen,3040,3273,2,50,0,0,2,79,26,207,1,18
Gol,3041,4608,41,1038,2,70,4,136,22,381,4,31
Hemsedal,3042,2486,17,555,3,7,7,271,0,0,,
Ål,3043,4674,48,533,0,0,10,325,50,60,0,
Hol,3044,4441,2,50,0,0,14,133,11,90,0,0
Sigdal,3045,3467,4,263,1,7,0,0,2,46,,
Krødsherad,3046,2212,9,104,0,0,0,0,0,0,0,0
Modum,3047,14115,19,891,4,124,4,200,10,191,,
Øvre Eiker,3048,19423,147,3711,0,0,38,2078,40,598,67,415
Lier,3049,26811,18,414,2,43,24,489,40,285,10,244
Flesberg,3050,2688,0,0,0,0,8,116,3,29,1,10
Rollag,3051,1390,1,10,0,0,1,0,0,0,0,
Nore og Uvdal,3052,2439,0,0,0,0,0,0,0,0,0,0
Jevnaker,3053,6852,10,257,0,0,7,114,3,19,,
Lunner,3054,9048,8,176,0,0,4,83,0,0,,
Oslo kommune,301,693494,979,22738,81,2092,1658,35569,1722,31423,48,466
Kongsvinger,3401,17829,10,600,4,55,12,465,37,200,9,111
Hamar,3403,31369,11,356,3,53,49,930,18,153,1,10
Lillehammer,3405,28345,18,561,6,2016,90,4734,4,95,6,102
Gjøvik,3407,30560,41,1017,0,0,49,1085,36,273,0,
Ringsaker,3411,34768,106,4545,4,205,72,1747,10,138,3,70
Løten,3412,7674,25,1113,10,56,31,267,3,128,3,83
Stange,3413,21064,50,851,0,0,6,771,5,22,,
Nord-Odal,3414,5016,25,477,4,122,12,615,0,0,22,303
Sør-Odal,3415,7905,12,213,0,0,8,215,0,0,,
Eidskog,3416,6106,10,285,5,60,22,560,106,285,0,0
Grue,3417,4612,20,317,5,51,25,395,0,0,,
Åsnes,3418,7203,10,80,1,5,22,278,5,23,,
Våler (Innlandet),3419,3662,12,510,1,10,6,225,3,20,15,150
Elverum,3420,21254,0,0,0,0,11,260,5,30,5,130
Trysil,3421,6627,41,550,0,0,21,522,1,6,2,50
Åmot,3422,4356,4,158,2,13,6,103,0,0,,
Stor-Elvdal,3423,2419,13,238,0,0,6,36,1,28,2,13
Rendalen,3424,1780,18,360,0,0,2,134,1,10,,
Engerdal,3425,1268,3,42,0,0,3,43,0,0,0,0
Tolga,3426,1562,48,1325,0,0,1,25,0,0,0,0
Tynset,3427,5578,6,133,0,0,3,415,2,44,0,
Alvdal,3428,2432,4,314,0,0,16,163,0,0,0,0
Folldal,3429,1545,5,60,0,0,0,0,0,0,2,25
Os,3430,1891,2,68,0,0,2,135,0,0,0,0
Dovre,3431,2553,13,373,7,42,14,246,3,24,0,0
Lesja,3432,1975,3,88,0,0,2,66,6,33,0,0
Skjåk,3433,2197,25,339,0,0,4,93,0,0,0,0
Lom,3434,2228,24,386,0,0,5,178,0,0,1,30
Vågå,3435,3570,4,4,3,3,3,12,4,4,2,2
Nord-Fron,3436,5723,9,285,0,0,17,457,16,80,2,35
Sel,3437,5739,25,398,4,19,49,536,11,97,2,43
Sør-Fron,3438,3119,0,0,0,0,4,120,42,540,0,0
Ringebu,3439,4392,10,480,5,75,13,915,30,413,2,15
Øyer,3440,5100,2,42,0,0,9,122,33,290,6,56
Gausdal,3441,6106,3,108,1,25,0,0,0,0,0,0
Østre Toten,3442,14973,16,554,0,0,39,725,8,137,42,746
