dato uke start,antall konkurser
2020-01-13,4
2020-01-20,10
2020-01-27,6
2020-02-03,5
2020-02-10,9
2020-02-17,7
2020-02-24,7
2020-03-02,5
2020-03-09,7
2020-03-16,7
2020-03-23,7
2020-03-30,5
2020-04-06,9
2020-04-13,8
2020-04-20,0
2020-04-27,6
2020-05-04,4
2020-05-11,4
2020-05-18,10
2020-05-25,8
2020-06-01,3
2020-06-08,16
2020-06-15,4
2020-06-22,2
2020-06-29,8
2020-07-06,5
2020-07-13,6
2020-07-20,5
2020-07-27,1
2020-08-03,5
2020-08-10,0
2020-08-17,3
2020-08-24,5
2020-08-31,3
2020-09-07,8
2020-09-14,1
2020-09-21,5
2020-09-28,8
2020-10-05,8
2020-10-12,9
2020-10-19,4
2020-10-26,9
2020-11-02,12
2020-11-09,12
2020-11-16,7
2020-11-23,3
2020-11-30,6
2020-12-07,5
2020-12-14,4
2020-12-21,3
2020-12-28,3
2021-01-04,3
2021-01-11,2
2021-01-11,3
2021-01-18,4
2021-01-25,3
2021-02-01,4
2021-02-08,8
2021-02-15,5
2021-02-22,4
2021-03-01,3
2021-03-08,3
2021-03-15,4
2021-03-22,5
2021-03-29,6
2021-04-05,1
2021-04-12,3
2021-04-19,12
2021-04-26,1
2021-05-03,4
2021-05-10,2
2021-05-17,5
2021-05-24,3
2021-05-31,6
2021-06-07,4
2021-06-14,1
2021-06-21,2
2021-06-28,2
2021-07-05,7
2021-07-12,5
2021-07-19,2
2021-07-26,1
2021-08-02,0
2021-08-09,1
2021-08-16,4
2021-08-23,6
2021-08-30,5
2021-09-06,3
2021-09-13,6
2021-09-20,5
2021-09-27,3
2021-10-04,4
